HAGRID	kingdom	phylum	class	order	family	genus	species	common_name	female_maturity_days	male_maturity_days	gestation_incubation_days	weaning_days	litter_clutch_size	litters_clutches_per_year	inter_litter_interbirth_interval	birth_weight_g	weaning_weight_g	adult_weight_g	growth_rate_recip_days	maximum_longevity_yrs	source	specimen_origin	sample_size	data_quality	imr_per_yr	mrdt_yrs	metabolic_rate_w	body_mass_g	temperature_k	references
03871	Animalia	Chordata	Teleostei	Perciformes	Malacanthidae	Caulolatilus	Caulolatilus princeps	Ocean whitefish	NA	NA	NA	NA	NA	NA	NA	NA	NA	3168	NA	13	520	wild	medium	acceptable	NA	NA	NA	NA	NA	454520
03872	Animalia	Chordata	Teleostei	Perciformes	Malacanthidae	Lopholatilus	Lopholatilus chamaeleonticeps	Blue tilefish	1825	1825	NA	NA	NA	NA	NA	NA	NA	16500	NA	35	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03873	Animalia	Chordata	Teleostei	Perciformes	Moronidae	Dicentrarchus	Dicentrarchus labrax	European seabass	1460	730	NA	NA	NA	NA	NA	NA	NA	6600	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454585
03874	Animalia	Chordata	Teleostei	Perciformes	Moronidae	Morone	Morone americana	White perch	NA	NA	NA	NA	NA	NA	NA	NA	NA	1210	NA	7	520	wild	medium	acceptable	NA	NA	NA	NA	NA	454520
03875	Animalia	Chordata	Teleostei	Perciformes	Moronidae	Morone	Morone chrysops	White bass	1095	730	2	NA	NA	NA	NA	NA	NA	1537.25	NA	9	520	wild	medium	acceptable	NA	NA	NA	NA	NA	442454520
03876	Animalia	Chordata	Teleostei	Perciformes	Moronidae	Morone	Morone mississippiensis	Yellow bass	NA	NA	NA	NA	NA	NA	NA	NA	NA	6050	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03877	Animalia	Chordata	Teleostei	Perciformes	Moronidae	Morone	Morone saxatilis	Striped bass	NA	NA	NA	NA	NA	NA	NA	NA	NA	31350	NA	30	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
03878	Animalia	Chordata	Teleostei	Perciformes	Mullidae	Mullus	Mullus surmuletus	Red mullet	730	730	NA	NA	NA	NA	NA	NA	NA	550	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454585
03879	Animalia	Chordata	Teleostei	Perciformes	Mullidae	Upeneus	Upeneus moluccensis	Goldband goatfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03880	Animalia	Chordata	Teleostei	Perciformes	Nemipteridae	Nemipterus	Nemipterus japonicus	Japanese threadfin-bream	365	NA	NA	NA	NA	NA	NA	NA	NA	327.8	NA	8	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03881	Animalia	Chordata	Teleostei	Perciformes	Nototheniidae	Dissostichus	Dissostichus mawsoni	Antarctic toothfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	44000	NA	31	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03882	Animalia	Chordata	Teleostei	Perciformes	Nototheniidae	Lepidonotothen	Lepidonotothen squamifrons	Grey rockcod	2920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03883	Animalia	Chordata	Teleostei	Perciformes	Nototheniidae	Notothenia	Notothenia rossii	Marbled rockcod	NA	NA	NA	NA	NA	NA	NA	NA	NA	5500	NA	16	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03884	Animalia	Chordata	Teleostei	Perciformes	Nototheniidae	Pleuragramma	Pleuragramma antarcticum	Antarctic silverfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	110	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03885	Animalia	Chordata	Teleostei	Perciformes	Nototheniidae	Trematomus	Trematomus bernacchii	Emerald rockcod	2007	1277	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03886	Animalia	Chordata	Teleostei	Perciformes	Osphronemidae	Betta	Betta splendens	Siamese fighting fish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	unknown	medium	acceptable	NA	NA	NA	NA	NA	454524
03887	Animalia	Chordata	Teleostei	Perciformes	Percichthyidae	Maccullochella	Maccullochella peelii	Murray cod	NA	NA	NA	NA	NA	NA	NA	NA	NA	62000	NA	48	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03888	Animalia	Chordata	Teleostei	Perciformes	Percichthyidae	Macquaria	Macquaria ambigua	Golden perch	1642	912	NA	NA	NA	NA	NA	NA	NA	13200	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03889	Animalia	Chordata	Teleostei	Perciformes	Percichthyidae	Macquaria	Macquaria novemaculeata	Australian bass	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
03890	Animalia	Chordata	Teleostei	Perciformes	Percidae	Ammocrypta	Ammocrypta clara	Western sand darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03891	Animalia	Chordata	Teleostei	Perciformes	Percidae	Crystallaria	Crystallaria asprella	Crystal darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03892	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma acuticeps	Sharphead darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03893	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma asprigene	Mud darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03894	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma barbouri	Teardrop darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03895	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma blennioides	Greenside darter	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	442	unknown	medium	acceptable	NA	NA	NA	NA	NA	442
03896	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma blennius	Blenny darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03897	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma caeruleum	Rainbow darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03898	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma collettei	Creole darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03899	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma coosae	Coosa darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03900	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma cragini	Arkansas darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03901	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma ditrema	Coldwater darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03902	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma exile	Iowa darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03903	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma flabellare	Fantail darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03904	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma fusiforme	Swamp darter	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	440	wild	medium	acceptable	NA	NA	NA	NA	NA	440
03905	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma gracile	Slough darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03906	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma juliae	Yoke darter	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03907	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma kennicotti	Stripetail darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03908	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma longimanum	Longfin darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03909	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma microperca	Least darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03910	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma moorei	Yellowcheek darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03911	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma nianguae	Niangua darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03912	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma nigrum	Johnny darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03913	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma okaloosae	Okaloosa darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1290	wild	small	acceptable	NA	NA	NA	NA	NA	1290
03914	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma olivaceum	Dirty darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03915	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma olmstedi	Tessellated darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03916	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma pallididorsum	Paleback darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03917	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma proeliare	Cypress darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03918	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma punctulatum	Stippled darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03919	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma radiosum	Orangebelly darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03920	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma rubrum	Bayou darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03921	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma rufilineatum	Redline darter	365	365	NA	NA	77	NA	NA	NA	NA	NA	NA	4	442	wild	medium	acceptable	NA	NA	NA	NA	NA	442
03922	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma smithi	Slabrock darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03923	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma squamiceps	Spottail darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03924	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma striatulum	Striated darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03925	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma variatum	Variegate darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03926	Animalia	Chordata	Teleostei	Perciformes	Percidae	Etheostoma	Etheostoma zonale	Banded darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03927	Animalia	Chordata	Teleostei	Perciformes	Percidae	Perca	Perca flavescens	Yellow perch	NA	NA	16	NA	100000	NA	NA	NA	NA	1055.25	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA	442454520
03928	Animalia	Chordata	Teleostei	Perciformes	Percidae	Perca	Perca fluviatilis	Eurasian perch	1368	821	NA	NA	NA	NA	NA	NA	NA	2612.5	NA	22	1	wild	medium	acceptable	0.07	27	NA	NA	NA	12454523
03929	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina aurantiaca	Tangerine darter	NA	NA	NA	NA	750	NA	NA	NA	NA	NA	NA	4.5	442	unknown	medium	acceptable	NA	NA	NA	NA	NA	442
03930	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina burtoni	Blotchside logperch	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03931	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina caprodes	Logperch	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	3	520	wild	medium	acceptable	NA	NA	NA	NA	NA	442520
03932	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina evides	Gilt darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03933	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina macrocephala	Longhead darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03934	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina maculata	Blackside darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03935	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina pantherina	Leopard darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03936	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina phoxocephala	Slenderhead darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03937	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina rex	Roanoke logperch	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03938	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina roanoka	Roanoke darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03939	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina sciera	Dusky darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03940	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina shumardi	River darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03941	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina tanasi	Snail darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03942	Animalia	Chordata	Teleostei	Perciformes	Percidae	Percina	Percina vigil	Saddleback darter	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03943	Animalia	Chordata	Teleostei	Perciformes	Percidae	Sander	Sander canadensis	Sauger	730	730	20	NA	NA	NA	NA	NA	NA	2000	NA	18	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1442
03944	Animalia	Chordata	Teleostei	Perciformes	Percidae	Sander	Sander lucioperca	Zander	1338	1338	NA	NA	NA	NA	NA	NA	NA	11000	NA	16	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03945	Animalia	Chordata	Teleostei	Perciformes	Percidae	Sander	Sander vitreus	Walleye	NA	NA	NA	NA	150000	NA	NA	NA	NA	11000	NA	29	454	wild	medium	acceptable	NA	NA	NA	NA	NA	23442454
03946	Animalia	Chordata	Teleostei	Perciformes	Pholidae	Pholis	Pholis gunnellus	Rock gunnel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	520	wild	medium	acceptable	NA	NA	NA	NA	NA	520
03947	Animalia	Chordata	Teleostei	Perciformes	Plesiopidae	Acanthoclinus	Acanthoclinus fuscus	Taumaka	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03948	Animalia	Chordata	Teleostei	Perciformes	Polynemidae	Polydactylus	Polydactylus macrochir	King threadfin	NA	NA	NA	NA	NA	NA	NA	NA	NA	24750	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03949	Animalia	Chordata	Teleostei	Perciformes	Polyprionidae	Polyprion	Polyprion oxygeneios	Hapuka	NA	4197	NA	NA	NA	NA	NA	NA	NA	55000	NA	60	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03950	Animalia	Chordata	Teleostei	Perciformes	Polyprionidae	Stereolepis	Stereolepis gigas	Giant sea bass	NA	NA	NA	NA	NA	NA	NA	NA	NA	140580	NA	75	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
03951	Animalia	Chordata	Teleostei	Perciformes	Pomacanthidae	Centropyge	Centropyge bicolor	Black and gold angelfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03952	Animalia	Chordata	Teleostei	Perciformes	Pomacanthidae	Centropyge	Centropyge flavissima	Lemonpeel angelfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
03953	Animalia	Chordata	Teleostei	Perciformes	Pomacanthidae	Pomacanthus	Pomacanthus navarchus	Bluegirdled angelfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
03954	Animalia	Chordata	Teleostei	Perciformes	Pomacanthidae	Pygoplites	Pygoplites diacanthus	Royal angelfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
03955	Animalia	Chordata	Teleostei	Perciformes	Pomacentridae	Amphiprion	Amphiprion clarkii	Black clown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
03956	Animalia	Chordata	Teleostei	Perciformes	Pomacentridae	Amphiprion	Amphiprion ephippium	Red saddleback anemonefish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
03957	Animalia	Chordata	Teleostei	Perciformes	Pomacentridae	Amphiprion	Amphiprion melanopus	Black anemonefish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03958	Animalia	Chordata	Teleostei	Perciformes	Pomatomidae	Pomatomus	Pomatomus saltatrix	Bluefish	NA	NA	NA	NA	NA	NA	NA	NA	NA	7920	NA	9	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03959	Animalia	Chordata	Teleostei	Perciformes	Priacanthidae	Cookeolus	Cookeolus japonicus	Bulleye	NA	NA	NA	NA	NA	NA	NA	NA	NA	1144	NA	9	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03960	Animalia	Chordata	Teleostei	Perciformes	Rachycentridae	Rachycentron	Rachycentron canadum	Cobia	NA	NA	NA	NA	NA	NA	NA	NA	NA	37400	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03961	Animalia	Chordata	Teleostei	Perciformes	Scaridae	Chlorurus	Chlorurus gibbus	Heavybeak parrotfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	2200	NA	14	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03962	Animalia	Chordata	Teleostei	Perciformes	Scaridae	Scarus	Scarus frenatus	Bridled parrotfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03963	Animalia	Chordata	Teleostei	Perciformes	Scaridae	Scarus	Scarus ghobban	Flame parrotfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03964	Animalia	Chordata	Teleostei	Perciformes	Scaridae	Scarus	Scarus psittacus	Palenose parrotfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03965	Animalia	Chordata	Teleostei	Perciformes	Scaridae	Scarus	Scarus rubroviolaceus	Bicolor parrotfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03966	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Aplodinotus	Aplodinotus grunniens	Freshwater drum	NA	NA	2	NA	50000	NA	NA	NA	NA	13292.5	NA	13	454	wild	medium	acceptable	NA	NA	NA	NA	NA	442454520
03967	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Argyrosomus	Argyrosomus japonicus	Southern meagre	NA	NA	NA	NA	NA	NA	NA	NA	NA	41250	NA	30	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03968	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Atractoscion	Atractoscion nobilis	White seabass	NA	NA	NA	NA	NA	NA	NA	NA	NA	22550	NA	20	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
03969	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Cheilotrema	Cheilotrema saturnum	Black croaker	NA	NA	NA	NA	NA	NA	NA	NA	NA	385	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454520
03970	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Cynoscion	Cynoscion nebulosus	Spotted seatrout	NA	NA	NA	NA	NA	NA	NA	NA	NA	4356	NA	18	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03971	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Genyonemus	Genyonemus lineatus	White croaker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
03972	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Leiostomus	Leiostomus xanthurus	Spot	NA	NA	NA	NA	NA	NA	NA	NA	NA	247.5	NA	4	523	unknown	medium	acceptable	NA	NA	NA	NA	NA	454523
03973	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Menticirrhus	Menticirrhus undulatus	California corbina	NA	NA	NA	NA	NA	NA	NA	NA	NA	2145	NA	8	454	wild	medium	acceptable	NA	NA	NA	NA	NA	217454520
03974	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Micropogonias	Micropogonias furnieri	Whitemouth drummer	1277	1277	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03975	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Micropogonias	Micropogonias undulatus	Atlantic croaker	365	365	NA	NA	NA	NA	NA	NA	NA	1419	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03976	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Pogonias	Pogonias cromis	Black drum	NA	NA	NA	NA	NA	NA	NA	NA	NA	28215	NA	43	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03977	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Sciaenops	Sciaenops ocellatus	Red drum	1642	1277	NA	NA	NA	NA	NA	NA	NA	24750	NA	50	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03978	Animalia	Chordata	Teleostei	Perciformes	Sciaenidae	Totoaba	Totoaba macdonaldi	Totoaba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
03979	Animalia	Chordata	Teleostei	Perciformes	Scombridae	Auxis	Auxis thazard	Frigate tuna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03980	Animalia	Chordata	Teleostei	Perciformes	Scombridae	Euthynnus	Euthynnus affinis	Little tunny	NA	NA	NA	NA	NA	NA	NA	NA	NA	7700	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03981	Animalia	Chordata	Teleostei	Perciformes	Scombridae	Katsuwonus	Katsuwonus pelamis	Skipjack tuna	1095	NA	NA	NA	NA	NA	NA	NA	NA	18975	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03982	Animalia	Chordata	Teleostei	Perciformes	Scombridae	Rastrelliger	Rastrelliger brachysoma	Indian mackerel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03983	Animalia	Chordata	Teleostei	Perciformes	Scombridae	Sarda	Sarda sarda	Atlantic bonito	365	365	NA	NA	NA	NA	NA	NA	NA	6050	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
03984	Animalia	Chordata	Teleostei	Perciformes	Scombridae	Scomber	Scomber japonicus	Chub mackerel	821	821	NA	NA	NA	NA	NA	NA	NA	1595	NA	18	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
