species	group	genome_size	hcn	map_length	sexual_system	size	num_markers	parpath	data_source	genus	log10_size
Cryptomeria japonica	plant	10.758	11	12.662	NA	16.764	NA	FALSE	Stapley et al (2017)	Cryptomeria	1.2243776521618066
Ctenopharyngodon idella	animal	1.00454571	24	11.761	gonochorous	0.107	279	FALSE	Stapley et al (2017)	Ctenopharyngodon	-0.9706162223147904
Cucumis melo	plant	0.9291	12	11.5	NA	1.524	NA	FALSE	Stapley et al (2017)	Cucumis	0.1829849670035817
Cucumis sativus	plant	0.195669	7	10.6119	NA	2	NA	FALSE	Stapley et al (2017)	Cucumis	0.3010299956639812
Cucurbita maxima	plant	0.44988	20	25.338	NA	0.4	NA	FALSE	Stapley et al (2017)	Cucurbita	-0.3979400086720376
Cucurbita moschata	plant	0.42054	20	19.36	NA	0.6	NA	FALSE	Stapley et al (2017)	Cucurbita	-0.2218487496163564
Cucurbita pepo	plant	0.5379	20	28.176	NA	0.5334	NA	FALSE	Stapley et al (2017)	Cucurbita	-0.2729469886461427
Culex pipiens	animal	0.6846	3	1.899	gonochorous	0.005	61	FALSE	Stapley et al (2017)	Culex	-2.3010299956639813
Cyanistes caeruleus	animal	1.43766	39	9.35	gonochorous	0.12	89	FALSE	Stapley et al (2017)	Cyanistes	-0.9208187539523752
Cynara cardunculus	plant	1.0758	17	12.511500000000002	NA	0.9144	NA	FALSE	Stapley et al (2017)	Cynara	-0.03886378261277468
Cynodon dactylon	plant	1.11003	18	10.55	NA	0.085	NA	FALSE	Stapley et al (2017)	Cynodon	-1.0705810742857071
Cynoglossus semilaevis	animal	0.60636	21	16.24	gonochorous	0.4	1007	FALSE	Stapley et al (2017)	Cynoglossus	-0.3979400086720376
Cyprinus carpio	animal	1.7419158	50	35.659	gonochorous	0.31	1209	FALSE	Stapley et al (2017)	Cyprinus	-0.5086383061657274
Dactylis glomerata	plant	4.3032	7	7.1577	NA	0.4191	NA	FALSE	Stapley et al (2017)	Dactylis	-0.3776823391661557
Danio rerio	animal	1.817124	25	21.773629999999997	gonochorous	0.0275	618	FALSE	Stapley et al (2017)	Danio	-1.5606673061697374
Daphnia magna	animal	0.129543	10	16.145	parthenogenic	0.0035	4037	FALSE	Stapley et al (2017)	Daphnia	-2.4559319556497243
Daphnia pulex	animal	0.197206	12	12.06	parthenogenic	0.0016	109	FALSE	Stapley et al (2017)	Daphnia	-2.795880017344075
Daucus carota	plant	0.421539	9	6.351	NA	0.45	NA	FALSE	Stapley et al (2017)	Daucus	-0.3467874862246563
Dianthus caryophyllus	plant	0.61614	15	9.783	NA	0.8	NA	FALSE	Stapley et al (2017)	Dianthus	-0.09691001300805639
