key	species	dataset	is_terrestrial	genus	is_terrestrial_orig	n_occ	range
Chlamys farreri	Chlamys farreri	Stapley	TRUE	Chlamys	TRUE	837	595714.4367361462
Cicer arietinum	Cicer arietinum	Stapley	TRUE	Cicer	TRUE	30000	31554249.868364714
Citrullus lanatus	Citrullus lanatus	Stapley	TRUE	Citrullus	TRUE	22869	87325368.46244785
Citrus clementina	Citrus clementina	Stapley	FALSE	Citrus	FALSE	155	-Inf
Citrus sinensis	Citrus sinensis	Stapley	TRUE	Citrus	TRUE	37	25583.639665392955
Clunio marinus	Clunio marinus	Stapley	TRUE	Clunio	TRUE	88	147339.535015986
Cocos nucifera	Cocos nucifera	Stapley	TRUE	Cocos	FALSE	6752	27022894.367707066
Coffea arabica	Coffea arabica	Stapley	TRUE	Coffea	FALSE	7344	29357442.640019856
Coprinus cinereus	Coprinus cinereus	Stapley	TRUE	Coprinus	TRUE	208	1059061.1654211306
Corchorus capsularis	Corchorus capsularis	Stapley	TRUE	Corchorus	TRUE	742	7523134.031983487
Corchorus olitorius	Corchorus olitorius	Stapley	TRUE	Corchorus	TRUE	4048	32908096.328600947
Coregonus clupeaformis	Coregonus clupeaformis	Stapley	TRUE	Coregonus	TRUE	10590	10830850.33086155
Cornus florida	Cornus florida	Stapley	TRUE	Cornus	TRUE	11183	5121463.498390935
Coturnix japonica	Coturnix japonica	Stapley	TRUE	Coturnix	TRUE	2385	12283943.24069518
Crassostrea virginica	Crassostrea virginica	Stapley	FALSE	Crassostrea	TRUE	3477	8594760.759528918
Crocodylus porosus	Crocodylus porosus	Stapley	TRUE	Crocodylus	TRUE	30000	4661146.350745649
Ctenopharyngodon idella	Ctenopharyngodon idella	Stapley	TRUE	Ctenopharyngodon	TRUE	6095	15621327.395347321
Cucumis melo	Cucumis melo	Stapley	TRUE	Cucumis	TRUE	25037	83271389.93851893
Cucumis sativus	Cucumis sativus	Stapley	TRUE	Cucumis	TRUE	21560	21931464.830681846
Cucurbita maxima	Cucurbita maxima	Stapley	TRUE	Cucurbita	TRUE	9596	55549139.19528827
Cucurbita moschata	Cucurbita moschata	Stapley	TRUE	Cucurbita	TRUE	10764	26927431.610154252
Cucurbita pepo	Cucurbita pepo	Stapley	TRUE	Cucurbita	FALSE	17357	43588717.637259446
Culex pipiens	Culex pipiens	Stapley	TRUE	Culex	TRUE	30000	8065129.985019233
Cyanistes caeruleus	Cyanistes caeruleus	Stapley	TRUE	Cyanistes	TRUE	30000	6991191.18861941
Cynara cardunculus	Cynara cardunculus	Stapley	TRUE	Cynara	TRUE	7567	7617902.600772999
Cynodon dactylon	Cynodon dactylon	Stapley	TRUE	Cynodon	FALSE	30006	43790660.31338053
Cynoglossus semilaevis	Cynoglossus semilaevis	Stapley	FALSE	Cynoglossus	FALSE	75	669746.2870717071
Cyprinus carpio	Cyprinus carpio	Stapley	TRUE	Cyprinus	TRUE	30000	19846146.333896898
Dactylis glomerata	Dactylis glomerata	Stapley	TRUE	Dactylis	TRUE	30000	20946589.630591605
Danio rerio	Danio rerio	Stapley	TRUE	Danio	TRUE	548	2666261.74867324
Daucus carota	Daucus carota	Stapley	TRUE	Daucus	FALSE	30002	16840780.314298984
Dianthus caryophyllus	Dianthus caryophyllus	Stapley	TRUE	Dianthus	TRUE	13528	7238723.40811455
Dicentrarchus labrax	Dicentrarchus labrax	Stapley	TRUE	Dicentrarchus	TRUE	15993	3897852.2548412494
Drosophila serrata	Drosophila serrata	Stapley	TRUE	Drosophila	FALSE	13	83489.38947772737
Ectocarpus siliculosus	Ectocarpus siliculosus	Stapley	TRUE	Ectocarpus	TRUE	5677	7364493.278471645
Eimeria maxima	Eimeria maxima	Stapley	FALSE	Eimeria	FALSE	23	-Inf
Eimeria tenella	Eimeria tenella	Stapley	FALSE	Eimeria	FALSE	25	-Inf
Elaeis guineensis	Elaeis guineensis	Stapley	TRUE	Elaeis	TRUE	6391	19609927.940043736
