Publication	Species	Population Label	Ne	95% CI		N	Ne/N	Nemin/N	Nemax/N	+	-	body_length	source
Ursenbacher et al (2009)	Trochulus caelatus	Pop1	25.5	12.4	240	15	1.70	0.827	16.000	14.300	0.873	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2553
Ursenbacher et al (2009)	Trochulus caelatus	Pop2	25.9	12.7	220	15	1.73	0.847	14.667	12.940	0.880	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2553
Ursenbacher et al (2009)	Trochulus caelatus	Pop6	8	5	15.4	16	0.50	0.313	0.963	0.463	0.188	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2554
Ursenbacher et al (2009)	Trochulus caelatus	Pop8	14.4	9.2	27.9	16	0.90	0.575	1.744	0.844	0.325	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2555
Ursenbacher et al (2009)	Trochulus caelatus	Pop4	7.1	4.9	11.4	20	0.36	0.245	0.570	0.215	0.110	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2556
Ursenbacher et al (2009)	Trochulus caelatus	Pop5	5.7	3.6	10.4	24	0.24	0.150	0.433	0.196	0.088	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2557
Johnson et al (2004)	Tympanuchus cupido	Leola	16.0	11	29	99	0.16	0.111	0.293	0.131	0.051	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2558
Johnson et al (2004)	Tympanuchus cupido	Mead	23.0	13	60.6	174	0.13	0.075	0.348	0.216	0.057	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2559
Johnson et al (2004)	Tympanuchus cupido	Paul Olson	20.0	11.9	47	181	0.11	0.066	0.260	0.149	0.045	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2560
Johnson et al (2004)	Tympanuchus cupido	Buena Vista	32.0	19.8	74.9	432	0.07	0.046	0.173	0.099	0.028	0.00825	http://www.animalbase.uni-goettingen.de/zooweb/servlet/AnimalBase/home/species?id=2561
Miller & Waits (2003)	Ursus arctos	Yellowstone 60-90	50.0	25	98	280	0.18	0.089	0.350	0.171	0.089	2.1	WP
Tallmon et al (2004)	Ursus arctos	South Sweden	45.0	31	73	700	0.06	0.044	0.104	0.040	0.020	2.1	WP
Ursenbacher et al (2009)b	Vipera berus	JuraMountains FR3	76.3	16.3	∞	15	5.09	1.087	10.000	4.913	4.000	0.6	WP
Ursenbacher et al (2009)b	Vipera berus	JuraMountains FR2	4.1	2.8	6.3	17	0.24	0.165	0.371	0.129	0.076	0.6	WP
Ursenbacher et al (2009)b	Vipera berus	JuraMountains BR	63.4	29.9	597.5	20	3.17	1.495	29.875	26.705	1.675	0.6	WP
Ursenbacher et al (2009)b	Vipera berus	JuraMountains PM	17.6	9.9	39.5	20	0.88	0.495	1.975	1.095	0.385	0.6	WP
Ursenbacher et al (2009)b	Vipera berus	JuraMountains CH2	37.1	25.2	59.5	31	1.20	0.813	1.919	0.723	0.384	0.6	WP
Ursenbacher et al (2009)b	Vipera berus	JuraMountains CH1	39.3	28.3	58.1	46	0.85	0.615	1.263	0.409	0.239	0.6	WP
