species	phylum	genus	kingdom	subphylum	family	order	superphylum	class	dataset	is_terrestrial	size	range	diversity
Paramecium novaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	1.275e-4	NaN	0.0091
Paramecium octaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	1.2e-4	NaN	0.0036
Paramecium pentaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	3.3e-4	NaN	0.0017000000000000001
Paramecium primaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	1.275e-4	NaN	0.022799999999999997
Paramecium quadecaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	1.275e-4	NaN	0.0345
Paramecium septaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	1.275e-4	NaN	0.0034000000000000002
Paramecium sexaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	Leffler	FALSE	1.275e-4	-Inf	0.0038
Paramecium tetraurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	Leffler	FALSE	1.275e-4	-Inf	0.0079
Paramecium triaurelia	Ciliophora	Paramecium	Protozoa	NA	Parameciidae	Hymenostomatida	NA	Ciliatea	NA	NA	1.275e-4	NaN	0.0066
Peromyscus maniculatus	Chordata	Peromyscus	Animalia	Vertebrata	Cricetidae	Rodentia	NA	Mammalia	Leffler	TRUE	0.1705	14410282.211977381	0.01313
Phlebotomus ariasi	Arthropoda	Phlebotomus	NA	NA	NA	Diptera	NA	Insecta	Leffler	TRUE	0.00225	-Inf	0.004156111111111111
