species	bodymass_g	bodymass_notes	bodymass_source	size_cm	bodysize_notes	bodysize_source	fecundity	fecundity_notes	fecundity_source	longevity_years	longevity_notes	longevity_source	propagule_size_cm	propagule_notes	propagule_source	mass	size	propagule	log10_size	log10_mass	log10_propagule	common_name	family	order	class	phylum	number_of_inds	contigs_number	average_length_of_contigs	SNP_number	piS	piN	piNpiS	fit	invasive_status	maximal_geoographic_distance	mean_geographic_distance	mean_distance_from_equator	genus
Ostreola stentina	13.1	Estimated (size to weight)	64	3.9	NA	39	NA	NA	NA	NA	NA	NA	0.014	NA	104	0.013099999999999999	0.039	1.4000000000000001e-4	-1.408935392973501	-1.8827287043442358	-3.853871964321762	dwarf oyster	Ostreidae	Ostreoida	Bivalvia	Mollusca	2	1539	85	4624	0.0206275	0.0026217	0.127097	-0.0619183	0	689841.376315217	322079.245829422	36.00157333332	Ostreola
Pan troglodytes	45000	NA	53	79.6	NA	28	0.0027	NA	53	59.4	NA	53	45.7	NA	53	45	0.7959999999999999	0.457	-0.09908693226233099	1.6532125137753437	-0.34008379993014975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pan
Parus caeruleus	10.3	NA	53	11.5	NA	40	0.0247	NA	123	14.6	NA	53	11.5	As adult size	NA	0.0103	0.115	0.115	-0.9393021596463883	-1.9871627752948278	-0.9393021596463883	blue tit	Paridae	Passeriformes	Aves	Chordata	10	1856	69	4893	0.00534488	7.37193e-4	0.137925	0.0287238	0	5298582.68129001	513380.126627175	58.2044259636461	Parus
Pectinaria koreni	0.258	NA	65	2.5	NA	41	1170	NA	124	1.42	NA	82	0.0063	NA	65	2.58e-4	0.025	6.3e-5	-1.6020599913279623	-3.58838029403677	-4.200659450546418	trumpet worm	Pectinariidae	Terebellida	Polychaeta	Annelida	2	2029	72	8938	0.0438453	0.00201947	0.0460589	0.0110392	0	3582325.41847479	879482.505340409	54.5198132093023	Pectinaria
Pectinaria koreni	0.258	NA	65	2.5	NA	41	1170	NA	124	1.42	NA	82	0.0063	NA	65	2.58e-4	0.025	6.3e-5	-1.6020599913279623	-3.58838029403677	-4.200659450546418	trumpet worm	Pectinariidae	Terebellida	Polychaeta	Annelida	6	804	60	2300	0.0132779	7.38225e-4	0.0555981	-0.00263137	0	3582325.41847479	874271.826678704	54.5447099222222	Pectinaria
Pectinaria koreni	0.258	NA	65	2.5	NA	41	1170	NA	124	1.42	NA	82	0.0063	NA	65	2.58e-4	0.025	6.3e-5	-1.6020599913279623	-3.58838029403677	-4.200659450546418	trumpet worm	Pectinariidae	Terebellida	Polychaeta	Annelida	2	2029	72	8938	0.0438453	0.00201947	0.0460589	0.0110392	0	3582325.41847479	879482.505340409	54.5198132093023	Pectinaria
Pectinaria koreni	0.258	NA	65	2.5	NA	41	1170	NA	124	1.42	NA	82	0.0063	NA	65	2.58e-4	0.025	6.3e-5	-1.6020599913279623	-3.58838029403677	-4.200659450546418	trumpet worm	Pectinariidae	Terebellida	Polychaeta	Annelida	6	804	60	2300	0.0132779	7.38225e-4	0.0555981	-0.00263137	0	3582325.41847479	874271.826678704	54.5447099222222	Pectinaria
Pheidole pallidula	0.03	Estimates from L. niger weight	66	0.8	Measured (queen)	NA	1.22	NA	125	15	Pogonomyrmex barbatus	80	0.8	As adult size	NA	2.9999999999999997e-5	0.008	0.008	-2.0969100130080562	-4.522878745280337	-2.0969100130080562	big-headed ant	Formicidae	Hymenoptera	Insecta	Arthropoda	4	9121	356	28221	0.00309237	5.30746e-4	0.171631	0.345536	0	1654028.52569485	331922.424742655	44.056265564	Pheidole
Physa acuta	0.0095	NA	67	0.85	NA	42	14.2	NA	126	1.5	NA	83	0.05	NA	105	9.5e-6	0.0085	5e-4	-2.070581074285707	-5.022276394711152	-3.3010299956639813	bladder snail	Physidae	"NA"	Gastropoda	Mollusca	9	3107	84	39251	0.0317507	0.00226422	0.0713124	0.233858	1	19405539.9736579	5752043.33121794	14.3801610778788	Physa
Physa gyrina	0.0095	NA	67	1.55	NA	42	14.2	P. acuta	126	1.5	P. acuta	83	0.05	NA	105	9.5e-6	0.0155	5e-4	-1.8096683018297086	-5.022276394711152	-3.3010299956639813	bladder snail	Physidae	"NA"	Gastropoda	Mollusca	2	2368	115	9095	0.0203538	0.00235481	0.115694	0.370746	0	13075935.2741503	1248091.28551402	40.4622539537705	Physa
Propithecus coquereli	4000	NA	53	46.3	NA	43	0.0027	NA	43	31	NA	53	NA	NA	NA	4	0.46299999999999997	NA	-0.3344190089820469	0.6020599913279624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Propithecus
Reticulitermes flavipes	0.0155	NA	68	4.75	NA	44	2.74	NA	127128	30	R. hesperus	80	4.75	As adult size	NA	1.55e-5	0.0075	0.0475	-1.3233063903751334	-4.809668301829708	-1.3233063903751334	eastern subterranean termite	Rhinotermitidae	Isoptera	Insecta	Arthropoda	2	16442	182	16928	0.00255644	6.14588e-4	0.240408	-0.00815044	0	8321779.21450332	3597810.5113281	41.6046849375	Reticulitermes
Reticulitermes grassei	0.0155	NA	68	4.75	NA	44	2.74	NA	127128	30	R. hesperus	80	4.75	As adult size	NA	1.55e-5	0.005	0.0475	-1.3233063903751334	-4.809668301829708	-1.3233063903751334	subterranean termite	Rhinotermitidae	Isoptera	Insecta	Arthropoda	9	8412	119	8379	0.00112279	2.32282e-4	0.206878	0.261382	0	576716.247707185	282192.626259212	44.5516367555556	Reticulitermes
Reticulitermes lucifugus	0.0155	NA	68	4.75	NA	44	2.74	NA	127128	30	R. hesperus	80	4.75	As adult size	NA	1.55e-5	0.0475	0.0475	-1.3233063903751334	-4.809668301829708	-1.3233063903751334	subterranean termite	Rhinotermitidae	Isoptera	Insecta	Arthropoda	2	16378	174	8804	0.00121422	4.20717e-4	0.346492	0.15464	0	18959.2192580326	9479.6096290163	43.35303	Reticulitermes
